가끔 궁금해,그 사람도 그럴 거예요,0
가상화폐 쫄딱 망함,어서 잊고 새출발 하세요,0
가스비 장난 아님,다음 달에는 더 절약해봐요,0
가족끼리 여행간다,더 가까워질 기회가 되겠네요,0
가족들이랑 여행 갈거야,좋은 생각이에요,0
가출해도 갈 데가 없어,선생님이나 기관에 연락해보세요,0
간식 추천,단짠으로 두 개 사는게 진리죠,0
감 말랭이 먹고 싶다,맛있게 드세요,0
감기 들 거 같애,이럴 때 잘 쉬는 게 중요해요,0
감정이 쓰레기통처럼 엉망진창이야,자신을 더 사랑해주세요,0
갑자기 눈물 나,마음이 아픈가요,0
강아지 키울 수 있을까,먼저 생활패턴을 살펴 보세요,0
같이 먹었는데 나만 살찐 거 같아,연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요,0
개강룩 입어볼까,개시해보세요,0
개같이 되버렸어,벗어나는 게 좋겠네요,0
개당황했잖아 갑자기 물어 봐서,갑작스러웠나봐요,0
개학하니까 좋다,친구들이 보고싶었나봐요,0
거지됐어,밥 사줄 친구를 찾아 보세요~,0
걱정 없이 살고파,누구나 걱정은 있어요,0
건강검진하러 옴,주기적으로 해주는 게 좋죠,0
건너건너 아는 사람인데 연락해도 될까,모르는 사이라 당황할 수도 있어요,0
건조하네,눈을 깜빡거려 보세요,0
게임 같이 하자고 할까,안 될 것도 없죠,0
게임도 이제 재미없어,다른 게임해보세요,0
겨울이 가고 봄이 올거야,마음에도 봄이 오길 바라요,0
결정 못하겠어,결정하기 힘드시겠네요,0
결혼 했는데,좋겠어요,0
결혼식때 하객이 없을 까봐 걱정돼,생각보다 신경 안 씁니다,0
결혼하는데 돈 많이 드네,허례허식이에요,0
결혼하면 행복해,사람마다 행복의 크기가 다르겠지만 행복할 거예요,0
결혼해야 하나,해봐요,0
계속 보고 싶어,보러 가세요,0
계속 한숨만 나와,뇌세포에 에너지를 공급하려는 자연스러운 현상이에요 에너지가 부족한가봐요,0
고데기 망했어,연습이 필요해요,0
고민 있어,네 말씀하세요,0
고시원에서 나가고 싶어,더 좋은 곳에서 살 수 있을 거예요,0
고의는 아닌데 실수를 한 거 같아,용서를 구하세요,0
골프 어려워,처음부터 잘하는 사람은 없어요,0
공무원 되고 싶다,준비해보세요,0
공무원 준비할까,시작이 반이에요 어서 준비하세요,0
공부 계속해도 될까,지금처럼 잘될 거예요,0
공부 잘 안돼,같이 수다 떨면서 놀까요,0
공부로 먹고 살 수 있을까,지금처럼 잘될 거예요,0
공부하는 이유,공부하면 더 많은 선택을 할 수 있죠,0
공시 준비하는데 힘들다,잘 될 거예요,0
공황장애 생겼어,꾸준히 약 먹고 치료해보세요,0
과거는 중요하지 않아,오늘이 중요하죠,0
과외비 비싸,안된다고 하면 거짓말이겠지요,0
과일 챙겨 먹어야지,제철과일이 정말 좋아요,0
관절염인가,계단 조심하세요,0
괜히 농담해서 망했다,늦지 않았어요,0
교양 수업 재밌어,저도 듣고 싶어요,0
교양이 전공보다 재미있어,저도 듣고 싶어요,0
교회 갔다 만났어,좋은 만남이었길 바라요,0
군대 기다려도 될까,부담스러워하지 않는다면 기다려도 좋을 것 같아요,0
굿모닝,좋은 아침이에요,0
귀 아파,병원에 가세요,0
그 사람이 나 안 좋아하는 거 같아,슬픈 이야기네요,0
그냥 공무원이 좋을 듯,시작이 반이에요 어서 준비하세요,0
그냥 이렇게 살고 싶어,살고 싶은대로 사세요,0
그냥 혼자 밥이나 먹어야지,밥심으로 사는 거죠,0
그래 이제 결정했어,좋은 결과 있을 거예요,0
그런 친구 아니었는데 너무 귀찮게 하네,친구가 좋아하나봐요,0
그림 좀 잘 그렸으면 좋겠다,학원을 다니거나 연습하면 잘할 수 있을 거예요,0
근사한 곳 알아 냈어,좋은 사람과 함께 가세요,0
금수저 물고 태어나면 좋겠지,뭔가 안풀리는 일이 있나봐요,0
기념일 다 챙기는거 귀찮아,기념일 챙겨주면 좋아할거예요,0
기다리는 것도 지쳐,기다리지 마세요,0
기대하고 있었는데,상대에게 바라는 기대는 자신을 슬프게 해요,0
기름값 올랐어,대중교통을 이용해주세요,0
기분 꿀꿀해,내일은 오늘보다 나을 거예요,0
기분이 그지 같아,신나는 음악 들어보세요,0
기숙사 떨어졌어,다음 학기에는 학점 관리를 더 열심히 해봐요,0
기차 타고 여행 가고 싶어,꿈꾸던 여행이네요,0
기프트콘 선물 괜찮을까,직접 주는 게 더 좋을 것 같아요,0
기회를 놓쳤어,더 좋은 기회가 올 거예요,0
긴 머리 관리하는 거 힘들다,그래서 저는 못 기르고 잘라요,0
길거리에서 연락처 물어보면 줘도 되나,마음에 들면 줘보세요,0
길은 멀고 해는 진다,그래도 넘을 수 있을 거예요,0
김떡순 먹고 싶어,건강을 위해 조금씩 드세요,0
까아 오빠들 컴백한다,기다렸나봐요,0
꽃 사고 싶어,집안 분위기가 바뀔 거예요,0
꽃게탕 맛있다,기분 좋아 보이세요,0
